,time,1029,1074,1455,1500,1052,1478,1433,1119,1097,1523,1030,1456,1075,1501
0,0,59.186090377768316,89.93280344143868,72.73262031808872,73.65678259723205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,56.300413480282444,65.67137227783877,68.07995023282888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,68.08645392186057,53.382373307503684,75.51550378353056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,71.44076148499724,59.303636293553794,76.77502202268386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,78.40148640564482,72.684564646919,62.37562811830517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,66.6197963047761,52.40269005628739,73.97496651432209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,95.49950417459178,56.28346593672107,82.92485569930956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.0,99.19807850792762,52.79857808180005,82.35395674049857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.0,78.94797015388252,60.069107789483496,68.67623480263067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,73.36088769149625,49.46456302107027,88.47521309309839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,81.81074348468992,63.583988400217656,90.48262434070288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.0,80.5333749516688,50.815920052444014,59.92331334663066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.0,90.45626151384518,57.48173114872432,79.9043309500455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
