,time,573,1224,551,1202,1247,1225,574
0,0,87.16476110961929,99.3522459365496,0.0,0.0,0.0,0.0,0.0
1,1,87.35293314770834,99.27525678165637,0.0,0.0,0.0,0.0,0.0
2,2,87.53149641856926,99.18265601910798,0.0,0.0,0.0,0.0,0.0
3,3,87.70027553832024,99.07456475586731,0.0,0.0,0.0,0.0,0.0
4,4,87.85907404523144,98.95112927414061,0.0,0.0,0.0,0.0,0.0
5,5,88.00773587998385,98.81254272519602,0.0,0.0,0.0,0.0,0.0
6,6,88.14609333509358,98.65897784366005,0.0,0.0,0.0,0.0,0.0
7,7,88.27399364888679,98.49066414829024,0.0,0.0,0.0,0.0,0.0
8,8,88.39129944350645,98.30782077813991,0.0,0.0,0.0,0.0,0.0
9,9,88.49788912421282,98.11070008673879,0.0,0.0,0.0,0.0,0.0
10,10,88.59363048039694,97.8995648364343,0.0,0.0,0.0,0.0,0.0
11,11,88.67841648967094,97.67469841271956,0.0,0.0,0.0,0.0,0.0
12,12,88.75215677826444,97.43640392349826,0.0,0.0,0.0,0.0,0.0
13,13,88.81476892718419,97.18497105102675,0.0,0.0,0.0,0.0,0.0
14,14,88.86617864323561,96.92075065561932,0.0,0.0,0.0,0.0,0.0
15,15,88.90632889805252,96.644046468654,0.0,0.0,0.0,0.0,0.0
16,16,88.93517111126921,96.35522140732714,0.0,0.0,0.0,0.0,0.0
17,17,88.95266525434094,96.05462189735385,0.0,0.0,0.0,0.0,0.0
18,18,88.9588069168303,95.74260905137571,0.0,0.0,0.0,0.0,0.0
19,19,88.95358240336407,95.41955762625633,0.0,0.0,0.0,0.0,0.0
20,20,88.9369957183911,95.0858344149347,0.0,0.0,0.0,0.0,0.0
21,21,88.90905957048437,94.74181831727549,0.0,0.0,0.0,0.0,0.0
22,22,88.86982227247407,94.38790942364598,0.0,0.0,0.0,0.0,0.0
23,23,88.81931375977707,94.02447734945,0.0,0.0,0.0,0.0,0.0
24,24,88.7575904129699,93.6519115951496,0.0,0.0,0.0,0.0,0.0
